ngo_description,category,urgency_level
Follow up needed on pls no tarpaulins provided to flood survivors,shelter,Medium
Stagnant water breeding mosquitoes in Wani lanes,hygiene,Low
"School building in Igatpuri damaged by flood, students displaced",education,Critical
"Anganwadi centre in Gadchiroli closed, children going without meals",food,Medium
Flood waters receded but homes too damaged to return to in Ardhapur,shelter,Critical
Wheelchair-bound senior unable to access relief services in Islampur,elderly support,Critical
Urgent: unclean streets causing serious safety risk in the area,hygiene,Critical
Reporting that pls diabetic patients not receiving appropriate diet support,food,Low
"Group of 100 elderly survivors in Khed need urgent shelter, needs attention soon",elderly support,Critical
Injur3d fl00d surv1v0rs n0t g3tt1ng w0und car3,medical,Low
Infant formula shortage reported at relief centre,food,Medium
Life threatening: outbreak of fever cases reported in Uran with no medical team pls fix,medical,Critical
Please look into boats and rescue equipment not prepositioned near rajapur before cyclone,disaster relief,Medium
Life threatening: no ambulance available in Ambernath for emergency cases the whole neighborhood is complaining,medical,Critical
Needs attention: volunteer teachers needed urgently at relief camp school,education,Medium
"Emergency: no grief counselling for elderly who lost family members in Tirora, needs attention soon",elderly support,Critical
Senior citizen with hearing impairment in Shirpur getting no support,elderly support,Critical
"Life threatening: government relief camp in Nanded City shut prematurely, families still displaced is creating inconvenience",disaster relief,Critical
Pls elderly flood survivor found wandering alone near Ballarpur,elderly support,Medium
Please fix no blankets or mats provided to flood survivors,shelter,Medium
No tarpaulins provided to flood survivors pls fix,shelter,High
Starvation reported among homeless persons near Morshi pls fix,food,High
Serious issue: injured flood survivors not getting wound care is creating inconvenience,medical,High
"Issue with no waste bins in chalisgaon camp, garbage strewn everywhere",hygiene,Medium
Critical alert: construction of relief houses stalled in Kalamb for 4 days the whole neighborhood is complaining,shelter,Critical
"Anganwadi centre in Pen closed, children going without meals",food,Medium
Requires immediate response: relief trucks not reaching Kamothe due to damaged roads,food,Critical
Minor concern: pls no physiotherapy or rehabilitation support for elderly in Ballarpur camp,elderly support,Low
"Pls anganwadi centre in Ghatkopar closed, children going without meals pls fix",food,Medium
Pls flood relief funds not disbursed to victims in Udgir,disaster relief,High
Just informing shelter camp flooded again after second wave of rain in Dhule City and it has been like this for days,shelter,Low
"Issue with rat infestation in Chiplun due to uncleared garbage, needs attention soon",hygiene,Medium
CRITICAL: elderly flood survivor found wandering alone near Pathri,elderly support,Critical
Relief trucks not reaching Katol due to damaged roads the whole neighborhood is complaining,food,Medium
wounded persons from khed not shifted to hospital for 8 days,medical,High
"Please escalate: drainage pipes choked, causing waterlogging in Nashik Road shelter zone is creating inconvenience",hygiene,High
Kindly address medical camp in Purna closed for 4 days with no alternative,medical,Medium
contaminated well water being used in sindkhede village,hygiene,High
"Minor issue: unclean streets, can be addressed later",hygiene,Low
Alert: temporary shelter disrupting schooling for 10 kids,education,High
Emergency: pls old age pensioners in Bhandup not receiving their monthly allowance,elderly support,Critical
"Just informing diarrhea outbreak in Ozar affecting over 25 families, needs attention soon",medical,Low
"Issue with school uniform and shoes lost in flooding, children embarrassed to attend",education,Medium
Typhoid cases rising in Akkalkot with no treatment available,medical,High
Ongoing issue with sewage leak affecting residential area this is a major safety risk. immediate attention is needed.,hygiene,Critical
Pls shelter camp flooded again after second wave of rain in Taloja,shelter,Medium
Oxygen cylinder shortage reported at health post in Phaltan and it has been like this for days,medical,High
"Urgent: no lighting in residential area, safety risk the whole neighborhood is complaining. urgent attention is needed.",shelter,Critical
HIV patients in Vasai unable to access antiretroviral drugs,medical,Medium
No early warning system in Bhiwandi vulnerable village pls fix,disaster relief,Critical
Issue with food distribution camp in Ratnagiri City has run out of supplies,food,Medium
For attention: food distribution camp in Pune Camp has run out of supplies the whole neighborhood is complaining,food,Low
"Please look into damaged road blocking access to shelters, affecting daily life",shelter,Medium
Life threatening: boats and rescue equipment not prepositioned near Ghatkopar before cyclone,disaster relief,Critical
Pls rat10n sh0p 1n Tasga0n n0t 0p3n1ng d3sp1t3 g0v3rnm3nt 0rd3rs,food,Medium
Please look into toilets at Ballarpur camp not cleaned for 13 days,hygiene,Medium
"School disrupted due to infrastructure damage, students need support",education,Medium
Please escalate: t3ach3rs unr3achabl3 aft3r cycl0n3 1n Kagal,education,High
Please look into families in Nagbhid have gone without food for 1 days pls fix,food,Medium
Flood relief funds not disbursed to victims in Balapur,disaster relief,High
Need to address power failure during disaster affecting families and it has been like this for days. fire attention is needed.,disaster relief,Critical
Need to address sparking wire posing fire risk to shelter and it has been like this for days. emergency attention is needed.,disaster relief,Critical
Dangerous situation: temporary shelter in Tirora dismantled before permanent housing arranged,shelter,Critical
Please look into abandoned elderly person in Kamothe needs immediate care and it has been like this for days,elderly support,Medium
Ongoing issue with sewage leak affecting residential area and it has been like this for days. leak attention is needed.,hygiene,High
Requires immediate response: garbage uncollected in nalasopara for 9 days,hygiene,Critical
"No waste bins in Chamorshi camp, garbage strewn everywhere",hygiene,Critical
Elderly flood survivor found wandering alone near Deoli and it has been like this for days,elderly support,Critical
Minor concern: dirty drainage blocking road and causing stench in Paranda pls fix,hygiene,Low
Critical alert: helpline operators in Miraj not responding despite multiple calls,disaster relief,Critical
Dead animals decomposing near Pen relief camp causing disease risk and it has been like this for days,hygiene,High
"anganwadi centre in jalgaon jamod closed, children going without meals",food,Low
Immediate action needed: starvation reported among homeless persons near Ulhasnagar,food,High
"Please escalate: no ambulance available in Bhandup for emergency cases, needs attention soon",medical,High
Critical alert: open defecation in Kamptee posing serious health risk,hygiene,Critical
"Elderly man in Amgaon with no relatives or support after disaster, needs attention soon",elderly support,Medium
